Year,City,Sport,Discipline,Country,Gender,Event,Medal,Athlete
1900,Paris,Aquatics,Swimming,GBR,Men,1500M Freestyle,Gold,"JARVIS, John Arthur"
1900,Paris,Aquatics,Swimming,GBR,Men,200M Obstacle Event,Bronze,"KEMP, Peter"
1900,Paris,Aquatics,Swimming,GBR,Men,4000M Freestyle,Gold,"JARVIS, John Arthur"
1900,Paris,Aquatics,Swimming,GER,Men,200M Backstroke,Gold,"HOPPENBERG, Ernst"
1900,Paris,Aquatics,Swimming,HUN,Men,1500M Freestyle,Bronze,"HALMAY, Zoltan"
1900,Paris,Aquatics,Swimming,HUN,Men,200M Freestyle,Silver,"HALMAY, Zoltan"
1900,Paris,Aquatics,Swimming,HUN,Men,4000M Freestyle,Silver,"HALMAY, Zoltan"
1900,Paris,Aquatics,Swimming,NED,Men,200M Backstroke,Bronze,"DROST, Johannes"
1900,Paris,Aquatics,Swimming,FRA,Men,200M Team Swimming,Bronze,FRA
1900,Paris,Aquatics,Swimming,FRA,Men,200M Team Swimming,Silver,FRA
1900,Paris,Aquatics,Swimming,GER,Men,200M Team Swimming,Gold,GER
1900,Paris,Aquatics,Water polo,BEL,Men,Water Polo,Silver,BEL
1900,Paris,Aquatics,Water polo,FRA,Men,Water Polo,Bronze,FRA
1900,Paris,Aquatics,Water polo,GBR,Men,Water Polo,Gold,GBR
1900,Paris,Archery,Archery,BEL,Men,"Au Chapelet, 33M",Gold,"VAN INNIS, Hubert"
1900,Paris,Archery,Archery,BEL,Men,"Au Cordon Doré, 33M",Gold,"VAN INNIS, Hubert"
1900,Paris,Archery,Archery,BEL,Men,"Au Cordon Doré, 50M",Silver,"VAN INNIS, Hubert"
1900,Paris,Archery,Archery,BEL,Men,Sur La Perche À La Herse,Gold,"FOULON, Emmanuel"
1900,Paris,Archery,Archery,BEL,Men,Sur La Perche À La Herse,Silver,"DRUART, Jr."
1900,Paris,Archery,Archery,BEL,Men,Sur La Perche À La Pyramide,Bronze,"GLINEUX, Louis"
1900,Paris,Archery,Archery,FRA,Men,"Au Chapelet, 33M",Bronze,"PETIT, Charles Frédéric"
1900,Paris,Archery,Archery,FRA,Men,"Au Chapelet, 33M",Silver,"THIBAUD, Victor"
1900,Paris,Archery,Archery,FRA,Men,"Au Chapelet, 50M",Bronze,"MERCIER, Emile"
1900,Paris,Archery,Archery,FRA,Men,"Au Chapelet, 50M",Gold,"MOUGIN, Eugène"
1900,Paris,Archery,Archery,FRA,Men,"Au Chapelet, 50M",Silver,"HELLE, Henri"
1900,Paris,Archery,Archery,FRA,Men,"Au Cordon Doré, 33M",Bronze,"PETIT, Charles Frédéric"
1900,Paris,Archery,Archery,FRA,Men,"Au Cordon Doré, 33M",Silver,"THIBAUD, Victor"
1900,Paris,Archery,Archery,FRA,Men,"Au Cordon Doré, 50M",Bronze,"FISSEUX, Emile"
1900,Paris,Archery,Archery,FRA,Men,"Au Cordon Doré, 50M",Gold,"HEROUIN, Henri"
1900,Paris,Archery,Archery,FRA,Men,Sur La Perche À La Herse,Silver,"SERRURIER, Auguste"
1900,Paris,Archery,Archery,FRA,Men,Sur La Perche À La Pyramide,Gold,"GRUMIAUX, Emile"
1900,Paris,Archery,Archery,FRA,Men,Sur La Perche À La Pyramide,Silver,"SERRURIER, Auguste"
1900,Paris,Athletics,Athletics,AUS,Men,100M,Bronze,"ROWLEY, Stanley"
1900,Paris,Athletics,Athletics,AUS,Men,200M,Bronze,"ROWLEY, Stanley"
1900,Paris,Athletics,Athletics,AUS,Men,60M,Bronze,"ROWLEY, Stanley"
1900,Paris,Athletics,Athletics,BOH,Men,Discus Throw,Silver,"JANDA, Frantisek"
1900,Paris,Athletics,Athletics,CAN,Men,3000M Steeplechase,Gold,"ORTON, George"
1900,Paris,Athletics,Athletics,CAN,Men,400M Hurdles,Bronze,"ORTON, George"
1900,Paris,Athletics,Athletics,DEN,Men,400M,Bronze,"SCHULTZ, Ernst"
1900,Paris,Athletics,Athletics,FRA,Men,1500M,Silver,"DELOGE, Henri"
1900,Paris,Athletics,Athletics,FRA,Men,3000M Steeplechase,Bronze,"CHASTANIE, Jacques"
1900,Paris,Athletics,Athletics,FRA,Men,400M Hurdles,Silver,"TAUZIN, Henri"
1900,Paris,Athletics,Athletics,FRA,Men,"Long Jump, Standing",Bronze,"TORCHEBOEUF, Emile"
1900,Paris,Athletics,Athletics,FRA,Men,Marathon,Gold,"THEATO, Michel"
1900,Paris,Athletics,Athletics,FRA,Men,Marathon,Silver,"CHAMPION, Emile"
1900,Paris,Athletics,Athletics,GBR,Men,1500M,Gold,"BENNETT, Charles"
1900,Paris,Athletics,Athletics,GBR,Men,3000M Steeplechase,Silver,"ROBINSON, Sidney"
1900,Paris,Athletics,Athletics,GBR,Men,4000M Steeplechase,Bronze,"ROBINSON, Sidney"
1900,Paris,Athletics,Athletics,GBR,Men,4000M Steeplechase,Gold,"RIMMER, John"
1900,Paris,Athletics,Athletics,GBR,Men,4000M Steeplechase,Silver,"BENNETT, Charles"
1900,Paris,Athletics,Athletics,GBR,Men,800M,Gold,"TYSOE, Alfred"
1900,Paris,Athletics,Athletics,GBR,Men,High Jump,Silver,"LEAHY, Patrick Joseph"
1900,Paris,Athletics,Athletics,GBR,Men,Long Jump,Bronze,"LEAHY, Patrick Joseph"
1900,Paris,Athletics,Athletics,HUN,Men,Discus Throw,Gold,"BAUER, Rudolf"
1900,Paris,Athletics,Athletics,HUN,Men,High Jump,Bronze,"GÖNCZY, Lajos"
1900,Paris,Athletics,Athletics,IND,Men,200M,Silver,"PRITCHARD, Norman"
1900,Paris,Athletics,Athletics,IND,Men,200M Hurdles,Silver,"PRITCHARD, Norman"
1900,Paris,Athletics,Athletics,NOR,Men,Pole Vault,Bronze,"ANDERSEN, Carl Albert"
1900,Paris,Athletics,Athletics,SWE,Men,Marathon,Bronze,"FAST, Ernst"
1900,Paris,Athletics,Athletics,USA,Men,100M,Gold,"JARVIS, Francis"
1900,Paris,Athletics,Athletics,USA,Men,100M,Silver,"TEWKSBURY, Walter B. John"
1900,Paris,Athletics,Athletics,USA,Men,110M Hurdles,Bronze,"MOLONEY, Frederick"
1900,Paris,Athletics,Athletics,USA,Men,110M Hurdles,Gold,"KRAENZLEIN, Alvin"
1900,Paris,Athletics,Athletics,USA,Men,110M Hurdles,Silver,"MCLEAN, John"
1900,Paris,Athletics,Athletics,USA,Men,1500M,Bronze,"BRAY, John"
1900,Paris,Athletics,Athletics,USA,Men,200M,Gold,"TEWKSBURY, Walter B. John"
1900,Paris,Athletics,Athletics,USA,Men,200M Hurdles,Bronze,"TEWKSBURY, Walter B. John"
1900,Paris,Athletics,Athletics,USA,Men,200M Hurdles,Gold,"KRAENZLEIN, Alvin"
1900,Paris,Athletics,Athletics,USA,Men,400M,Gold,"LONG, Maxwell W.Maxey"
1900,Paris,Athletics,Athletics,USA,Men,400M,Silver,"HOLLAND, William"
1900,Paris,Athletics,Athletics,USA,Men,400M Hurdles,Gold,"TEWKSBURY, Walter B. John"
1900,Paris,Athletics,Athletics,USA,Men,60M,Gold,"KRAENZLEIN, Alvin"
1900,Paris,Athletics,Athletics,USA,Men,60M,Silver,"TEWKSBURY, Walter B. John"
1900,Paris,Athletics,Athletics,USA,Men,800M,Bronze,"HALL, David"
1900,Paris,Athletics,Athletics,USA,Men,800M,Silver,"CREGAN, John"
1900,Paris,Athletics,Athletics,USA,Men,Discus Throw,Bronze,"SHELDON, Richard"
1900,Paris,Athletics,Athletics,USA,Men,Hammer Throw,Bronze,"MCCRACKEN, Josiah"
1900,Paris,Athletics,Athletics,USA,Men,Hammer Throw,Gold,"FLANAGAN, John Jesus"
1900,Paris,Athletics,Athletics,USA,Men,Hammer Throw,Silver,"HARE, Thomas Truxton"
1900,Paris,Athletics,Athletics,USA,Men,High Jump,Gold,"BAXTER, Irving"
1900,Paris,Athletics,Athletics,USA,Men,"High Jump, Standing",Bronze,"SHELDON, Lewis Pendleton"
1900,Paris,Athletics,Athletics,USA,Men,"High Jump, Standing",Gold,"EWRY, Ray"
1900,Paris,Athletics,Athletics,USA,Men,"High Jump, Standing",Silver,"BAXTER, Irving"
1900,Paris,Athletics,Athletics,USA,Men,Long Jump,Gold,"KRAENZLEIN, Alvin"
1900,Paris,Athletics,Athletics,USA,Men,Long Jump,Silver,"PRINSTEIN, Meyer"
1900,Paris,Athletics,Athletics,USA,Men,"Long Jump, Standing",Gold,"EWRY, Ray"
1900,Paris,Athletics,Athletics,USA,Men,"Long Jump, Standing",Silver,"BAXTER, Irving"
1900,Paris,Athletics,Athletics,USA,Men,Pole Vault,Gold,"BAXTER, Irving"
1900,Paris,Athletics,Athletics,USA,Men,Pole Vault,Silver,"COLKETT, Meredith Bright"
1900,Paris,Athletics,Athletics,USA,Men,Shot Put,Bronze,"GARRETT, Robert"
1900,Paris,Athletics,Athletics,USA,Men,Shot Put,Gold,"SHELDON, Richard"
1900,Paris,Athletics,Athletics,USA,Men,Shot Put,Silver,"MCCRACKEN, Josiah"
1900,Paris,Athletics,Athletics,USA,Men,Triple Jump,Bronze,"SHELDON, Lewis Pendleton"
1900,Paris,Athletics,Athletics,USA,Men,Triple Jump,Gold,"PRINSTEIN, Meyer"
1900,Paris,Athletics,Athletics,USA,Men,Triple Jump,Silver,"CONNOLLY, James"
1900,Paris,Athletics,Athletics,USA,Men,"Triple Jump, Standing",Bronze,"GARRETT, Robert"
1900,Paris,Athletics,Athletics,USA,Men,"Triple Jump, Standing",Gold,"EWRY, Ray"
1900,Paris,Athletics,Athletics,USA,Men,"Triple Jump, Standing",Silver,"BAXTER, Irving"
1900,Paris,Athletics,Athletics,FRA,Men,5000M Team,Silver,FRA
1900,Paris,Athletics,Athletics,ZZX,Men,5000M Team,Gold,ZZX
1900,Paris,Basque Pelota,Basque Pelota,ESP,Men,Cesta Punta,Gold,ESP
1900,Paris,Basque Pelota,Basque Pelota,FRA,Men,Cesta Punta,Silver,FRA
1900,Paris,Cricket,Cricket,FRA,Men,Cricket,Silver,FRA
1900,Paris,Cricket,Cricket,GBR,Men,Cricket,Gold,GBR
1900,Paris,Croquet,Croquet,FRA,Men,Individual 1 Ball,Bronze,WAYDELICH
1900,Paris,Croquet,Croquet,FRA,Men,Individual 1 Ball,Gold,AUMOITTE
1900,Paris,Croquet,Croquet,FRA,Men,Individual 1 Ball,Silver,JOHIN
1900,Paris,Croquet,Croquet,FRA,Men,Individual 2 Balls,Bronze,SAUTREAU
1900,Paris,Croquet,Croquet,FRA,Men,Individual 2 Balls,Gold,WAYDELICH
1900,Paris,Croquet,Croquet,FRA,Men,Individual 2 Balls,Silver,VIGNEROT
1900,Paris,Croquet,Croquet,FRA,Men,Double,Gold,FRA
1900,Paris,Cycling,Cycling Track,FRA,Men,25 Kilometres,Bronze,"DAUMAIN, ....."
1900,Paris,Cycling,Cycling Track,FRA,Men,25 Kilometres,Gold,"BASTIEN, Louis"
1900,Paris,Cycling,Cycling Track,FRA,Men,25 Kilometres,Silver,"HILDEBRAND, Louis"
1900,Paris,Cycling,Cycling Track,FRA,Men,Sprint Indivual,Gold,"TAILLANDIER, Georges"
1900,Paris,Cycling,Cycling Track,FRA,Men,Sprint Indivual,Silver,"SANZ, Fernand"
1900,Paris,Cycling,Cycling Track,USA,Men,Sprint Indivual,Bronze,"LAKE, John Henry"
1900,Paris,Equestrian,Jumping,BEL,Men,High Jump,Bronze,"VAN DE POELE, Georges"
1900,Paris,Equestrian,Jumping,BEL,Men,Individual,Gold,"HAEGEMAN, Aimé"
1900,Paris,Equestrian,Jumping,BEL,Men,Individual,Silver,"VAN DE POELE, Georges"
1900,Paris,Equestrian,Jumping,BEL,Men,Long Jump Individual,Gold,"VAN LANGHENDONCK, Constant"
1900,Paris,Equestrian,Jumping,FRA,Men,High Jump,Gold,"GARDERES, Dominique Maximien"
1900,Paris,Equestrian,Jumping,FRA,Men,Individual,Bronze,"DE CHAMPSAVIN, Louis"
1900,Paris,Equestrian,Jumping,FRA,Men,Long Jump Individual,Bronze,DE BELLEGARDE
1900,Paris,Equestrian,Jumping,ITA,Men,High Jump,Gold,"TRISSINO, Gian Giorgio"
1900,Paris,Equestrian,Jumping,ITA,Men,Long Jump Individual,Silver,"TRISSINO, Gian Giorgio"
1900,Paris,Fencing,Fencing,AUT,Men,Sabre Individual,Bronze,"FLESCH, Siegfried"
1900,Paris,Fencing,Fencing,AUT,Men,"Sabre, Masters",Bronze,"NERALIC, Milan"
1900,Paris,Fencing,Fencing,CUB,Men,Épée Individual,Gold,"FONST, Ramon"
1900,Paris,Fencing,Fencing,CUB,Men,"Épée, Amateurs And Masters",Silver,"FONST, Ramon"
1900,Paris,Fencing,Fencing,FRA,Men,Foil Individual,Bronze,"BOULENGER, Marcel Jacques"
1900,Paris,Fencing,Fencing,FRA,Men,Foil Individual,Gold,"COSTE, Emile"
1900,Paris,Fencing,Fencing,FRA,Men,Foil Individual,Silver,"MASSON, Henri"
1900,Paris,Fencing,Fencing,FRA,Men,"Foil, Masters",Bronze,"MIMIAGUE, Jean-Baptiste"
1900,Paris,Fencing,Fencing,FRA,Men,"Foil, Masters",Gold,"MERIGNAC, Lucien"
1900,Paris,Fencing,Fencing,FRA,Men,"Foil, Masters",Silver,"KIRCHHOFFER, Alphonse"
1900,Paris,Fencing,Fencing,FRA,Men,Sabre Individual,Gold,"DE LA FALAISE, Georges"
1900,Paris,Fencing,Fencing,FRA,Men,Sabre Individual,Silver,"THIEBAUT, Léon"
1900,Paris,Fencing,Fencing,FRA,Men,Épée Individual,Bronze,"SEE, Léon"
1900,Paris,Fencing,Fencing,FRA,Men,Épée Individual,Silver,"PERREE, Louis"
1900,Paris,Fencing,Fencing,FRA,Men,"Épée, Amateurs And Masters",Bronze,"SEE, Léon"
1900,Paris,Fencing,Fencing,FRA,Men,"Épée, Amateurs And Masters",Gold,"AYAT, Albert"
1900,Paris,Fencing,Fencing,FRA,Men,"Épée, Masters",Bronze,"LAURENT, Henri"
1900,Paris,Fencing,Fencing,FRA,Men,"Épée, Masters",Gold,"AYAT, Albert"
1900,Paris,Fencing,Fencing,FRA,Men,"Épée, Masters",Silver,"BOUGNOL, Emile"
1900,Paris,Fencing,Fencing,ITA,Men,"Sabre, Masters",Gold,"CONTE, Antonio"
1900,Paris,Fencing,Fencing,ITA,Men,"Sabre, Masters",Silver,"SANTELLI, Italo"
1900,Paris,Football,Football,BEL,Men,Football,Bronze,BEL
1900,Paris,Football,Football,FRA,Men,Football,Silver,FRA
